AccidentUID,Unfalltyp,Unfallschwere,Fussgänger,Fahrrad,Motorrad,Strassentyp,Jahr,Monat,Wochentag,Stunde,Breitengrad,Längengrad,Datum
3551C986E1050030E0530A83942781CE,Fussgängerunfall,Unfall mit Schwerverletzten,True,False,False,Hauptstrasse,2016,5,Montag,10,47.43732964979342,9.404150741782052,2016-05-01
90AF5A22410A1924E05328B9D80A7928,Schleuder- oder Selbstunfall,Unfall mit Getöteten,False,True,False,Nebenstrasse,2019,7,Freitag,13,47.40764115023167,9.326930874441338,2019-07-01
8F94716821C4DA1BE05328B9D80A5E54,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Nebenstrasse,2019,7,Samstag,13,47.40663445012607,9.303610861944888,2019-07-01
8E7D9EC219976A6FE05328B9D80AC12D,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Nebenstrasse,2019,7,Samstag,15,47.430911237119105,9.382553964923128,2019-07-01
C2995D36D70E8C20E053DDB9D80AC9F1,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,False,True,False,Hauptstrasse,2021,4,Mittwoch,15,47.41367724230661,9.354302756161148,2021-04-01
35501187A1E60124E0530A839427C436,Fussgängerunfall,Unfall mit Leichtverletzten,False,False,False,Nebenstrasse,2016,5,Mittwoch,17,47.408712566342736,9.33347604102091,2016-05-01
C5BC0AB2A68B9411E053DDB9D80A6281,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2021,5,Donnerstag,17,47.42320053463677,9.361605217565103,2021-05-01
7FCCD781012914CEE05328B9D80AB621,Überholunfall oder Fahrstreifenwechsel,Unfall mit Schwerverletzten,False,False,False,Autobahn,2018,1,Sonntag,19,47.408164889960545,9.29516953296841,2018-01-01
C57CFAAC742F4C76E053DDB9D80A71D0,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,andere,2021,5,Dienstag,7,47.4262997848096,9.376963234135598,2021-05-01
38279B46971D00BCE0530A839427AFB2,Fussgängerunfall,Unfall mit Leichtverletzten,True,True,False,andere,2016,5,Sonntag,18,47.4397216029337,9.391482119609838,2016-05-01
35504E40831C0118E0530A839427A904,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2016,5,Montag,6,47.428295875272845,9.383996366020396,2016-05-01
912D86E14074BE00E05328B9D80AA514,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2019,7,Samstag,12,47.42306948542769,9.366770558211295,2019-07-01
9176F207896AEBE0E05328B9D80AF463,Parkierunfall,Unfall mit Schwerverletzten,False,False,False,andere,2019,8,Samstag,13,47.41143335862652,9.339271918849407,2019-08-01
355233CE5B40015AE0530A839427B17B,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2016,5,Montag,11,47.429100267511664,9.383243535405771,2016-05-01
35504E407E2D0118E0530A839427A904,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2016,5,Freitag,15,47.40907111912524,9.330811698238712,2016-05-01
3A43F8E0F6D40222E0530A839427C986,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2016,6,Mittwoch,13,47.4234953941089,9.368204455816015,2016-06-01
38253E7EEBC601D4E0530A8394271FFD,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,True,False,Nebenstrasse,2016,5,Dienstag,18,47.428000782655104,9.381214677306588,2016-05-01
C80230AF3A73C64CE053DDB9D80AE1EB,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,False,False,True,Hauptstrasse,2021,6,Mittwoch,19,47.44422905927957,9.426845075818067,2021-06-01
C65A42F45190E460E053DDB9D80A8B86,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2021,6,Sonntag,4,47.402471341614245,9.30402160962993,2021-06-01
67346A4563F3012AE0530A8394275953,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2018,3,Mittwoch,17,47.43913712440898,9.407904003884813,2018-03-01
3929DD62EDA90066E0530A839427F062,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,False,True,False,andere,2016,6,Freitag,9,47.43188943317972,9.38376973576637,2016-06-01
38AF1F8E1A5E00CCE0530A8394277C90,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2016,6,Mittwoch,15,47.42823048010309,9.377179386209923,2016-06-01
961B47917A801098E05328B9D80A32AC,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,True,False,Nebenstrasse,2019,8,Montag,21,47.41588277386766,9.377418998776445,2019-08-01
6DE260448B6C02E0E0530A83942791A0,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,3,Samstag,11,47.42221661004581,9.365042845177207,2018-03-01
93FDCB7F9F8953C6E05329B9D80A71DA,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Nebenstrasse,2019,8,Freitag,22,47.435743689005896,9.409581777196088,2019-08-01
